name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Chennai, TN, India",2015-11-01T00:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,14.8,0,199.8,1011,50,5,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T01:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,15.5,5.4,230,1010,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T02:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,22.7,7.6,280,1009,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T03:00:00,25.1,25.1,25.1,100,0,0,,0,0,24.1,0,209.7,1009,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T04:00:00,25.1,25.1,25.1,100,0,0,,0,0,22.7,0,213.7,1009,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T05:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,23,0,228,1010,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T06:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,20.9,0,234.8,1010,50,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T07:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,21.2,0,235.6,1011,50,2,5.7,0,0,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-01T08:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,22.3,5.4,280,1012,50,3,76.7,0.3,1,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-01T09:00:00,30.1,37.6,26.1,79.2,0,0,,0,0,22.7,7.6,290,1012,50,6,128.3,0.5,1,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-01T10:00:00,31.1,40.8,27.1,79.34,0,0,,0,0,22.3,7.6,300,1013,50,7,226.7,0.8,2,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-01T11:00:00,31.1,37.9,25.1,70.48,0,0,,0,0,24.5,9.4,230,1012,50,8,186,0.7,2,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-01T12:00:00,32.1,40.8,26.1,70.67,0,0,,0,0,22.3,9.4,330,1010,50,8,251.2,0.9,3,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-01T13:00:00,31.1,37.9,25.1,70.48,0,0,,0,0,22.3,5.4,10,1011,50,6,694.5,2.5,7,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-01T14:00:00,25.1,25.1,24.1,94.19,44,100,rain,0,0,26.3,11.2,60,1009,90,4,470.5,1.7,5,,"Rain, Partially cloudy",rain,43279099999
"Chennai, TN, India",2015-11-01T15:00:00,26.1,26.1,25.1,94.24,44,100,rain,0,0,25.9,9.4,80,1010,90,4,211.8,0.8,2,,"Rain, Partially cloudy",rain,43279099999
"Chennai, TN, India",2015-11-01T16:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,21.6,0,146,1009,100,3,169.8,0.6,2,,Overcast,cloudy,43279099999
"Chennai, TN, India",2015-11-01T17:00:00,26.1,26.1,26.1,100,0,0,,0,0,22,0,140,1009,90,3,119.6,0.4,1,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-01T18:00:00,26.1,26.1,26.1,100,0,0,,0,0,19.1,0,128.5,1010,90,4,42.2,0.2,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T19:00:00,27.1,31.4,26.1,94.28,0,0,,0,0,14.8,0,122,1011,90,4,0.4,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T20:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,14.4,0,145.3,1012,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T21:00:00,26.1,26.1,24.1,88.76,0,0,,0,0,17.6,9.4,100,1013,90,5,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T22:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,18,0,193.8,1013,90,5,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-01T23:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,18.7,0,203.9,1012,90,5,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-02T00:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,18,0,212.3,1012,90,5,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-02T01:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,18.4,5.4,240,1012,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-02T02:00:00,25.1,25.1,24.1,94.19,5,100,rain,0,0,18,5.4,230,1011,100,4,0,0,0,,"Rain, Overcast",rain,43279099999
"Chennai, TN, India",2015-11-02T03:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,15.8,0,248.1,1010,100,4,0,0,0,,Overcast,cloudy,43279099999
"Chennai, TN, India",2015-11-02T04:00:00,24.1,24.1,24.1,100,0,0,,0,0,14,0,257.7,1011,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-02T05:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,13.3,0,256.8,1011,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-02T06:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,11.9,9.4,240,1012,100,2,0,0,0,,Overcast,cloudy,43279099999
"Chennai, TN, India",2015-11-02T07:00:00,25.1,25.1,24.1,94.19,0,0,,0,0,12.6,5.4,290,1012,90,4,2.4,0,0,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-02T08:00:00,26.1,26.1,25.1,94.24,7,100,rain,0,0,11.5,9.4,230,1013,90,4,25.2,0.1,0,,"Rain, Partially cloudy",rain,43279099999
"Chennai, TN, India",2015-11-02T09:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,12.2,13,250,1014,90,6,94.2,0.3,1,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-02T10:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,11.2,9.4,240,1014,90,7,127.5,0.5,1,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-02T11:00:00,30.1,36.3,25.1,74.64,0,0,,0,0,11.2,9.4,250,1013,90,7,221.6,0.8,2,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-02T12:00:00,31.1,39.3,26.1,74.8,0,0,,0,0,13.3,13,310,1012,90,7,228.1,0.8,2,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-02T13:00:00,31.1,39.3,26.1,74.8,0,0,,0,0,11.5,11.2,270,1011,90,7,352.7,1.3,4,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-02T14:00:00,32.1,39.3,25.1,66.59,0,0,,0,0,12.2,9.4,200,1010,90,7,418,1.5,4,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-02T15:00:00,32.1,39.3,25.1,66.59,0,0,,0,0,15.1,0,106.2,1010,50,7,479.1,1.7,5,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-02T16:00:00,31.1,39.3,26.1,74.8,0,0,,0,0,16.9,13,100,1010,50,7,416.3,1.5,4,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-02T17:00:00,30.1,36.3,25.1,74.64,0,0,,0,0,17.3,14.8,110,1010,50,6,256.2,0.9,3,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-02T18:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,16.2,9.4,80,1011,50,6,65.9,0.2,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-02T19:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,13.7,5.4,90,1011,50,6,0.6,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-02T20:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,10.1,5.4,10,1012,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-02T21:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,9.4,5.4,130,1013,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-02T22:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,8.3,5.4,150,1013,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-02T23:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,8.6,5.4,170,1013,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-03T00:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,10.8,5.4,230,1012,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-03T01:00:00,27.1,31.4,26.1,94.28,0,0,,0,0,11.9,0,172,1011,90,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-03T02:00:00,26.1,26.1,26.1,100,0,0,,0,0,11.5,0,199.2,1011,90,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-03T03:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,12.2,5.4,260,1012,90,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-03T04:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,11.5,0,287,1011,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-03T05:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,10.4,0,283.3,1011,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-03T06:00:00,26.1,26.1,26.1,100,0,0,,0,0,10.8,0,276,1012,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-03T07:00:00,27.1,31.4,26.1,94.28,0,0,,0,0,9,0,253.7,1013,90,3,7.3,0,0,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-03T08:00:00,28.1,34.7,27.1,94.32,0,0,,0,0,10.8,0,223.5,1013,30,3,133.7,0.5,1,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-03T09:00:00,27.3,31.1,25,87.28,0,0,,0,0,11.2,5.4,197.2,1014,73.4,,334.3,1.2,3,,Partially cloudy,partly-cloudy-day,remote
"Chennai, TN, India",2015-11-03T10:00:00,31.1,39.3,26.1,74.8,0,0,,0,0,13,13,100,1013,50,6,543.4,2,5,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-03T11:00:00,32.1,40.8,26.1,70.67,0,0,,0,0,16.2,9.4,120,1013,50,6,698.6,2.5,7,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-03T12:00:00,32.1,40.8,26.1,70.67,0,0,,0,0,18.4,16.6,90,1011,50,6,767.5,2.8,8,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-03T13:00:00,31.1,37.9,25.1,70.48,0,0,,0,0,17.6,20.5,110,1010,50,6,715.8,2.6,7,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-03T14:00:00,30.1,36.3,25.1,74.64,0,0,,0,0,17.3,11.2,110,1010,50,6,454,1.6,5,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-03T15:00:00,28.1,33.7,26.1,88.92,0,0,,0,0,16.2,5.4,190,1010,90,5,258.8,0.9,3,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-03T16:00:00,28.1,33.7,26.1,88.92,0,0,,0,0,16.2,7.6,280,1010,90,5,394.7,1.4,4,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-03T17:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,15.8,7.6,300,1011,90,4,234.5,0.8,2,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-03T18:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,14.4,7.6,300,1011,90,4,73,0.3,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-03T19:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,10.1,3.6,270,1012,90,4,0.7,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-03T20:00:00,26.1,26.1,25.1,94.24,0.2,100,rain,0,0,8.6,7.6,270,1012,90,4,0,0,0,,"Rain, Partially cloudy",rain,43279099999
"Chennai, TN, India",2015-11-03T21:00:00,26.1,26.1,25.1,94.24,0.2,100,rain,0,0,6.8,5.4,320,1013,90,4,0,0,0,,"Rain, Partially cloudy",rain,43279099999
"Chennai, TN, India",2015-11-03T22:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,5.4,0,323,1013,90,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-03T23:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,8.6,0,308.5,1013,90,3,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T00:00:00,25.1,25.1,25.1,100,0,0,,0,0,14,0,311.5,1012,90,3,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T01:00:00,25.1,25.1,25.1,100,0,0,,0,0,8.3,0,319.4,1011,90,3,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T02:00:00,25.1,25.1,25.1,100,0,0,,0,0,8.3,0,328,1011,90,3,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T03:00:00,25.1,25.1,25.1,100,0,0,,0,0,8.3,0,321.3,1010,90,3,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T04:00:00,25.1,25.1,25.1,100,0,0,,0,0,9,0,322,1010,90,3,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T05:00:00,26.1,26.1,25.1,94.24,0,0,,0,0,10.1,0,313.1,1011,90,3,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T06:00:00,25.1,25.1,25.1,100,0,0,,0,0,10.1,0,305.6,1011,90,3,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T07:00:00,26.1,26.1,26.1,100,0,0,,0,0,8.6,0,313.6,1012,50,4,6.5,0,0,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-04T08:00:00,28.1,33.7,26.1,88.92,0,0,,0,0,11.2,0,323,1012,50,4,110.1,0.4,1,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-04T09:00:00,30.1,37.6,26.1,79.2,0,0,,0,0,13.3,11.2,20,1013,50,5,300.5,1.1,3,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-04T10:00:00,31.1,39.3,26.1,74.8,0,0,,0,0,15.5,14.8,40,1013,50,6,510.1,1.8,5,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-04T11:00:00,31.1,39.3,26.1,74.8,0,0,,0,0,19.1,13,350,1012,50,7,682.5,2.5,7,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-04T12:00:00,31.1,39.3,26.1,74.8,0,0,,0,0,23.4,14.8,20,1011,50,6,648.2,2.3,6,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-04T13:00:00,30.1,37.6,26.1,79.2,0,0,,0,0,23.4,18.4,60,1010,50,5,755.3,2.7,8,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-04T14:00:00,32.1,39.3,25.1,66.59,3,100,rain,0,0,25.2,18.4,30,1009,50,6,747.6,2.7,7,,"Rain, Partially cloudy",rain,43279099999
"Chennai, TN, India",2015-11-04T15:00:00,31.1,37.9,25.1,70.48,0,0,,0,0,25.9,18.4,50,1008,50,6,440.1,1.6,4,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-04T16:00:00,31.1,37.9,25.1,70.48,0,0,,0,0,24.5,11.2,40,1008,50,6,350.8,1.3,4,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-04T17:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,25.9,18.4,30,1009,50,6,256,0.9,3,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-04T18:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,24.8,13,40,1010,50,6,74.8,0.3,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T19:00:00,29.1,35.8,26.1,83.9,0,0,,0,0,20.2,9.4,40,1011,50,6,0.6,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T20:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,16.2,9.4,50,1011,90,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T21:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,15.5,7.6,40,1012,90,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T22:00:00,28.1,33.7,26.1,88.92,0,0,,0,0,12.2,0,15,1012,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-04T23:00:00,27.1,31.4,26.1,94.28,0,0,,0,0,10.1,0,282.7,1012,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-05T00:00:00,27.1,31.4,26.1,94.28,0,0,,0,0,12.2,0,290.8,1011,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-05T01:00:00,27.1,31.4,26.1,94.28,0,0,,0,0,20.5,0,308.2,1010,90,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-05T02:00:00,27.1,31.4,26.1,94.28,0,0,,0,0,19.1,0,327.4,1010,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-05T03:00:00,27.1,31.4,26.1,94.28,0,0,,0,0,15.5,0,347.8,1009,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-05T04:00:00,26.1,26.1,26.1,100,0,0,,0,0,16.6,0,14.1,1009,30,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-05T05:00:00,26.1,26.1,26.1,100,0,0,,0,0,15.5,0,21.3,1010,30,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-05T06:00:00,26.1,26.1,26.1,100,0,0,,0,0,12.6,5.4,270,1011,50,4,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-05T07:00:00,26.1,26.1,26.1,100,0,0,,0,0,14,0,2,1012,50,2,5.3,0,0,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-05T08:00:00,27.1,32,27.1,100,0,0,,0,0,18.4,0,359.4,1012,50,2,99.9,0.4,1,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-05T09:00:00,30.1,39,27.1,84.01,0,0,,0,0,22.3,9.4,20,1013,50,3,254.3,0.9,3,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-05T10:00:00,29.1,35.8,26.1,83.9,0,0,,0,0,23.8,5.4,300,1012,50,3,457.6,1.6,5,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-05T11:00:00,27.1,31.4,26.1,94.28,0.2,100,rain,0,0,25.6,5.4,20,1012,50,3,628,2.3,6,,"Rain, Partially cloudy",rain,43279099999
"Chennai, TN, India",2015-11-05T12:00:00,28.1,33.7,26.1,88.92,0,0,,0,0,25.9,0,65.4,1011,50,3,634.3,2.3,6,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-05T13:00:00,29.1,35.8,26.1,83.9,0,0,,0,0,23.4,5.4,260,1010,50,4,668.3,2.4,7,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-05T14:00:00,30.1,37.6,26.1,79.2,0,0,,0,0,23.8,5.4,280,1009,50,4,512.5,1.8,5,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-05T15:00:00,30.1,37.6,26.1,79.2,0,0,,0,0,24.5,9.4,50,1008,90,5,601.3,2.2,6,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-05T16:00:00,30.1,36.3,25.1,74.64,0,0,,0,0,24.5,13,80,1008,90,6,443.1,1.6,4,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-05T17:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,21.2,7.6,50,1009,90,6,224.6,0.8,2,,Partially cloudy,partly-cloudy-day,43279099999
"Chennai, TN, India",2015-11-05T18:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,19.8,5.4,20,1009,90,6,65,0.2,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-05T19:00:00,27.1,30.8,25.1,88.84,0,0,,0,0,14.8,3.6,30,1010,90,6,0.6,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-05T20:00:00,27.1,31.4,26.1,94.28,0,0,,0,0,10.8,0,63.9,1011,90,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
"Chennai, TN, India",2015-11-05T21:00:00,27.1,31.4,26.1,94.28,0,0,,0,0,10.1,0,60.9,1012,90,6,0,0,0,,Partially cloudy,partly-cloudy-night,43279099999
