city,date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,weather_code,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
Chennai,2000-01-01,27.1,22.6,28.1,23.2,0.0,0.0,2,22.4,38.9,51
Chennai,2000-01-02,27.3,21.9,27.8,23.0,0.0,0.0,3,19.9,34.9,33
Chennai,2000-01-03,26.8,21.5,27.2,22.4,0.0,0.0,3,22.9,40.0,35
Chennai,2000-01-04,27.1,20.8,28.2,22.1,0.0,0.0,3,20.4,36.7,32
Chennai,2000-01-05,27.0,22.7,28.3,24.3,0.3,0.3,51,24.2,42.1,29
Chennai,2000-01-06,27.1,23.0,27.8,24.3,0.5,0.5,51,25.3,43.6,30
Chennai,2000-01-07,27.4,22.3,28.1,24.0,0.0,0.0,3,26.1,44.6,33
Chennai,2000-01-08,27.2,23.3,28.3,24.2,0.0,0.0,3,23.9,40.7,40
Chennai,2000-01-09,27.4,22.7,29.0,24.5,0.0,0.0,3,21.4,36.4,37
Chennai,2000-01-10,27.4,23.2,28.6,24.9,1.1,1.1,53,20.9,38.5,46
Chennai,2000-01-11,26.9,22.7,28.7,25.2,1.1,1.1,51,20.8,36.7,48
Chennai,2000-01-12,27.7,22.7,30.1,25.2,0.0,0.0,2,14.4,26.6,53
Chennai,2000-01-13,28.2,20.0,30.9,22.7,0.0,0.0,1,13.2,24.8,61
Chennai,2000-01-14,28.4,20.4,32.1,23.8,0.0,0.0,2,9.1,18.7,90
Chennai,2000-01-15,28.9,20.2,32.7,23.5,0.0,0.0,3,11.4,20.9,119
Chennai,2000-01-16,28.8,21.8,32.0,25.4,0.0,0.0,3,14.7,27.4,79
Chennai,2000-01-17,27.8,21.7,30.5,24.4,0.0,0.0,2,16.9,31.0,39
Chennai,2000-01-18,28.1,20.5,30.1,22.7,0.0,0.0,2,18.3,33.1,34
Chennai,2000-01-19,28.9,19.9,31.5,22.8,0.0,0.0,1,13.5,24.5,50
Chennai,2000-01-20,29.2,19.5,33.5,22.3,0.0,0.0,3,11.2,21.2,135
Chennai,2000-01-21,28.6,18.9,32.2,20.7,0.0,0.0,2,13.2,25.6,173
Chennai,2000-01-22,27.7,18.5,30.6,21.1,0.0,0.0,3,12.3,24.8,157
Chennai,2000-01-23,28.2,17.6,30.8,19.3,0.0,0.0,3,14.2,27.4,174
Chennai,2000-01-24,28.3,18.1,31.5,19.7,0.0,0.0,2,11.4,23.0,125
Chennai,2000-01-25,27.9,20.1,30.6,23.0,0.0,0.0,3,15.8,29.5,57
Chennai,2000-01-26,28.4,20.2,30.8,22.7,0.1,0.1,51,15.0,30.6,50
Chennai,2000-01-27,28.1,21.6,29.1,23.6,0.0,0.0,2,21.7,38.2,49
Chennai,2000-01-28,28.7,22.1,30.0,23.7,0.0,0.0,3,18.8,33.8,34
Chennai,2000-01-29,29.2,21.1,31.4,23.6,0.0,0.0,1,16.0,29.9,35
Chennai,2000-01-30,29.3,19.5,32.1,22.3,0.0,0.0,2,14.6,28.1,50
Chennai,2000-01-31,28.7,20.9,30.9,23.1,0.0,0.0,1,13.7,25.2,71
Chennai,2000-02-01,27.7,20.5,29.4,21.6,0.0,0.0,2,13.4,25.6,79
Chennai,2000-02-02,29.6,19.0,32.3,21.1,0.0,0.0,3,14.4,27.7,86
Chennai,2000-02-03,29.3,22.8,32.7,26.2,0.3,0.3,51,19.5,32.8,67
Chennai,2000-02-04,29.1,23.3,33.6,26.9,0.9,0.9,51,13.8,27.7,112
Chennai,2000-02-05,29.7,22.4,33.6,26.3,0.2,0.2,51,17.6,33.5,160
Chennai,2000-02-06,29.5,23.5,32.7,27.0,1.1,1.1,53,16.7,29.2,171
Chennai,2000-02-07,30.9,24.2,35.4,27.3,0.5,0.5,53,18.0,31.7,180
Chennai,2000-02-08,29.3,23.6,33.4,27.1,1.8,1.8,51,20.8,33.5,155
Chennai,2000-02-09,29.3,24.1,31.7,27.2,0.2,0.2,51,16.6,32.0,154
Chennai,2000-02-10,30.2,23.8,33.3,27.0,0.0,0.0,3,17.6,32.0,162
Chennai,2000-02-11,30.0,23.0,33.0,26.4,0.0,0.0,3,19.2,34.6,162
Chennai,2000-02-12,29.8,22.9,33.7,26.5,0.0,0.0,3,14.0,26.3,153
Chennai,2000-02-13,30.4,21.7,33.6,24.7,0.0,0.0,2,16.0,30.2,143
Chennai,2000-02-14,29.6,20.7,32.1,24.3,0.0,0.0,2,14.9,28.8,91
Chennai,2000-02-15,29.5,23.5,30.7,25.4,0.0,0.0,3,17.4,32.0,56
Chennai,2000-02-16,30.2,22.9,32.9,26.1,0.0,0.0,3,14.7,29.5,60
Chennai,2000-02-17,30.9,22.5,34.3,25.8,0.0,0.0,3,13.7,28.4,113
Chennai,2000-02-18,32.7,21.3,36.0,24.3,0.0,0.0,2,17.2,31.0,158
Chennai,2000-02-19,30.2,22.5,33.4,26.5,0.0,0.0,2,16.0,29.9,137
Chennai,2000-02-20,30.3,22.4,33.4,26.1,0.2,0.2,51,18.5,32.8,135
Chennai,2000-02-21,30.2,24.4,34.6,27.7,1.0,1.0,51,15.9,30.6,135
Chennai,2000-02-22,30.2,23.9,33.6,27.8,0.0,0.0,3,16.0,30.2,96
Chennai,2000-02-23,28.1,23.9,32.3,28.1,6.3,6.3,61,13.2,24.5,95
Chennai,2000-02-24,27.5,23.8,31.8,28.0,14.5,14.5,63,14.3,27.4,103
Chennai,2000-02-25,28.0,23.4,31.9,27.7,6.6,6.6,53,12.2,24.5,110
Chennai,2000-02-26,27.8,23.5,31.7,27.2,13.4,13.4,63,16.3,30.6,116
Chennai,2000-02-27,28.3,23.4,32.5,27.1,11.0,11.0,61,20.3,34.2,75
Chennai,2000-02-28,29.0,24.3,32.4,27.3,0.5,0.5,51,21.7,39.6,60
Chennai,2000-02-29,29.0,23.0,31.2,25.2,0.0,0.0,1,19.9,35.6,41
Chennai,2000-03-01,29.4,20.9,31.9,22.7,0.0,0.0,0,14.6,27.7,38
Chennai,2000-03-02,29.5,17.5,33.3,19.0,0.0,0.0,3,10.6,18.4,80
Chennai,2000-03-03,30.3,17.5,34.2,19.0,0.0,0.0,2,9.8,19.1,169
Chennai,2000-03-04,31.6,18.8,34.5,20.3,0.0,0.0,3,16.5,29.5,186
Chennai,2000-03-05,30.4,21.1,34.7,24.1,0.0,0.0,3,14.4,27.7,160
Chennai,2000-03-06,30.1,20.5,34.5,23.4,0.0,0.0,3,12.5,24.8,153
Chennai,2000-03-07,30.3,21.5,35.7,24.9,0.5,0.5,51,13.7,26.6,131
Chennai,2000-03-08,30.8,23.0,36.7,27.4,0.3,0.3,51,12.6,26.3,140
Chennai,2000-03-09,32.1,24.4,37.3,29.5,0.0,0.0,2,15.0,27.0,167
Chennai,2000-03-10,32.1,24.5,37.0,28.9,0.0,0.0,2,14.0,27.7,164
Chennai,2000-03-11,32.2,24.2,36.3,28.4,0.0,0.0,2,14.1,27.7,168
Chennai,2000-03-12,32.1,23.5,35.5,27.4,0.0,0.0,2,20.3,34.9,172
Chennai,2000-03-13,33.9,24.5,36.9,27.7,0.0,0.0,1,21.7,36.0,174
Chennai,2000-03-14,33.0,25.3,37.0,29.1,0.0,0.0,3,20.1,33.1,165
Chennai,2000-03-15,32.3,24.2,36.8,28.3,0.0,0.0,1,15.0,29.5,152
Chennai,2000-03-16,32.9,23.9,37.5,28.2,0.0,0.0,3,15.8,29.9,159
Chennai,2000-03-17,33.1,22.7,37.4,26.7,0.0,0.0,1,17.2,29.2,164
Chennai,2000-03-18,32.9,23.5,36.8,27.7,0.0,0.0,2,16.9,31.0,158
Chennai,2000-03-19,33.1,23.3,36.8,27.0,0.0,0.0,2,16.2,28.1,170
Chennai,2000-03-20,32.6,23.0,36.3,26.9,0.0,0.0,1,13.8,27.0,159
Chennai,2000-03-21,32.0,22.5,35.9,26.3,0.0,0.0,3,14.8,29.5,144
Chennai,2000-03-22,31.0,23.3,34.5,27.3,0.0,0.0,3,14.8,29.2,117
Chennai,2000-03-23,32.3,22.9,36.9,27.2,0.0,0.0,3,14.5,28.4,121
Chennai,2000-03-24,32.2,24.2,36.4,28.5,0.0,0.0,2,14.9,29.2,83
Chennai,2000-03-25,32.5,22.9,36.2,27.4,0.0,0.0,3,16.8,32.8,56
Chennai,2000-03-26,31.1,23.5,34.1,27.6,0.0,0.0,3,16.6,32.4,54
Chennai,2000-03-27,32.1,24.3,36.0,28.2,0.6,0.6,51,19.5,36.4,56
Chennai,2000-03-28,31.7,24.3,35.8,28.6,1.2,1.2,51,17.1,34.9,49
Chennai,2000-03-29,32.0,24.9,36.0,29.2,0.1,0.1,51,19.2,37.4,34
Chennai,2000-03-30,33.4,22.4,36.6,26.7,0.0,0.0,3,14.8,28.1,27
Chennai,2000-03-31,34.0,21.2,37.9,24.3,0.0,0.0,3,14.8,28.4,55
Chennai,2000-04-01,29.6,24.9,33.2,29.1,3.6,3.6,53,17.7,37.8,33
Chennai,2000-04-02,32.7,25.2,36.7,29.7,0.0,0.0,1,17.9,31.0,132
Chennai,2000-04-03,33.0,25.4,38.9,30.4,0.0,0.0,2,15.9,30.2,146
Chennai,2000-04-04,33.9,25.7,39.0,31.1,0.0,0.0,1,16.8,29.2,170
Chennai,2000-04-05,34.2,25.7,39.0,31.0,0.0,0.0,2,20.4,36.0,173
Chennai,2000-04-06,34.2,25.7,38.8,30.9,0.0,0.0,2,19.7,34.6,167
Chennai,2000-04-07,33.8,25.9,38.1,30.5,0.0,0.0,3,18.7,34.9,167
Chennai,2000-04-08,34.8,26.0,39.8,30.8,0.0,0.0,2,18.5,33.1,170
Chennai,2000-04-09,35.8,25.9,39.6,30.6,0.0,0.0,2,22.1,37.4,180
Chennai,2000-04-10,35.9,26.1,39.9,30.7,0.0,0.0,2,22.4,37.8,182
Chennai,2000-04-11,35.4,26.5,39.2,30.9,0.0,0.0,3,25.1,41.0,177
Chennai,2000-04-12,36.1,27.1,40.3,30.9,0.0,0.0,2,20.6,35.6,175
Chennai,2000-04-13,36.2,27.6,41.0,31.9,0.0,0.0,3,21.4,37.8,178
Chennai,2000-04-14,37.0,27.6,42.9,31.7,0.0,0.0,1,20.4,33.1,177
Chennai,2000-04-15,36.7,27.7,42.2,32.2,0.0,0.0,2,23.0,40.3,177
Chennai,2000-04-16,35.1,27.9,40.0,32.3,0.0,0.0,3,21.8,36.0,173
Chennai,2000-04-17,34.2,27.4,38.6,32.2,0.1,0.1,51,24.5,39.6,164
Chennai,2000-04-18,34.0,27.0,39.3,31.1,0.5,0.5,53,19.7,36.4,162
Chennai,2000-04-19,34.2,24.4,38.9,29.7,0.0,0.0,2,16.0,28.4,156
Chennai,2000-04-20,34.4,25.4,39.0,30.9,0.0,0.0,2,17.1,29.9,158
Chennai,2000-04-21,35.9,25.5,39.9,30.4,0.0,0.0,3,18.1,31.7,174
Chennai,2000-04-22,36.5,26.1,41.4,32.0,0.0,0.0,3,16.6,31.0,165
Chennai,2000-04-23,36.4,27.0,41.7,32.8,0.0,0.0,3,18.0,30.6,161
Chennai,2000-04-24,36.6,27.8,42.8,33.2,0.0,0.0,2,18.6,33.8,178
Chennai,2000-04-25,39.0,28.2,44.4,30.2,1.3,1.3,61,21.2,37.1,192
Chennai,2000-04-26,38.6,28.4,43.8,31.4,0.0,0.0,0,21.9,37.1,185
Chennai,2000-04-27,38.9,28.0,43.2,31.7,0.0,0.0,0,23.0,38.5,187
Chennai,2000-04-28,38.3,28.0,43.8,31.6,0.0,0.0,1,24.2,37.4,182
